district_name,district_geocode,total_district_population_2566,avg_district_density_2566
ปทุมวัน,1007,160308,4788.74
พระโขนง,1009,171392,6127.27
บางกอกใหญ่,1016,121350,9817.96
คลองสามวา,1046,1060080,1915.47
จอมทอง,1035,564392,5372.09
บางแค,1040,768936,4324.14
บางนา,1047,170690,4542.29
บางบอน,1050,400812,2883.96
บางกะปิ,1006,282720,4956.0
ลาดกระบัง,1011,1079394,1452.45
สัมพันธวงศ์,1013,58638,13803.67
สะพานสูง,1044,291183,3451.18
มีนบุรี,1010,282036,2215.7
พระนคร,1001,483048,7271.32
บางขุนเทียน,1021,370318,1534.21
ราษฎร์บูรณะ,1024,151068,4786.09
บางพลัด,1025,348820,7676.5
ดุสิต,1002,379070,7108.67
ทวีวัฒนา,1048,159542,1588.46
ห้วยขวาง,1017,251076,5567.22
บางเขน,1005,368462,4373.64
บางรัก,1004,214605,7747.469999999999
บึงกุ่ม,1027,411375,5640.45
พญาไท,1014,128074,6674.0
ประเวศ,1032,553065,3512.19
คลองเตย,1033,268542,6888.87
วัฒนา,1039,241545,6407.88
หลักสี่,1041,196754,4307.04
ดอนเมือง,1036,497823,4508.9
สายไหม,1042,632862,4728.32
ลาดพร้าว,1038,226394,5108.86
หนองแขม,1023,310248,4330.05
ป้อมปราบศัตรูพ่าย,1008,190500,19730.71
สาทร,1028,213918,7645.94
ธนบุรี,1015,688002,11494.089999999998
ราชเทวี,1037,257872,9046.87
ทุ่งครุ,1049,248186,4036.73
สวนหลวง,1034,368982,5194.44
คันนายาว,1043,190402,3664.4
หนองจอก,1003,1473104,779.38
ภาษีเจริญ,1022,852831,6831.5
ดินแดง,1026,219604,13143.64
วังทองหลาง,1045,413824,5370.15
ตลิ่งชัน,1019,607980,3437.36
ยานนาวา,1012,146832,4406.19
บางคอแหลม,1031,233019,7112.259999999999
บางกอกน้อย,1020,490140,8207.3
จตุจักร,1030,770015,4679.8
บางซื่อ,1029,237268,10275.79
คลองสาน,1018,259844,10735.58
